Unnamed: 0,id,name,lat,lon,splitFailurePct,startDate,endDate,day count,startTime,endTime,days_of_week,reportID,lookup,ID,Month,Year,Time,totalVehicleVolume,start_dt,month_no,year_no,crash_count,crashes per 1000 veh,total_crashes,tot crashes per 1000 veh
32207,30.2773_-97.7409,West 15th Street & Colorado Street,30.2773,-97.74086,0.561,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,149474,44652,4,2022,0,0,4,0.026760507
32208,30.2775_-97.8196,Scottish Woods Trail & South Capital of Texas Highway,30.27752,-97.81955,0.532,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,290690,44652,4,2022,0,0,10,0.034400908
32209,30.2882_-97.7478,West 24th Street & San Gabriel Street,30.28816,-97.74784,0.582,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,131927,44652,4,2022,0,0,1,0.00757995
32210,30.2892_-97.7072,East 38½ Street & Airport Boulevard,30.28919,-97.70724,0.118,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,129789,44652,4,2022,0,0,2,0.015409626
32211,30.2897_-97.7403,West Dean Keeton Street & Whitis Avenue,30.28972,-97.74028,1.709,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,97744,44652,4,2022,0,0,4,0.040923228
32212,30.2948_-97.7194,North Interstate 35 & East 38½ Street,30.29476,-97.71938,0.194,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,73398,44652,4,2022,1,1.36243E-05,9,0.122619145
32213,30.2960_-97.7439,West 29th Street,30.29596,-97.74395,0.302,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,40569,44652,4,2022,0,0,2,0.049298726
32214,30.2960_-97.8295,Bee Caves Road & Castle Ridge Road,30.29601,-97.82954,4.452,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,102785,44652,4,2022,0,0,0,0
32215,30.2997_-97.7224,East 41st Street & Red River Street,30.29971,-97.72239,0,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,43526,44652,4,2022,0,0,3,0.068924321
32216,30.3026_-97.6603,30.3026_-97.6603_BEI,30.30261,-97.66032,0.666,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,95279,44652,4,2022,0,0,8,0.083963937
32217,30.3121_-97.7154,East 51st Street & Airport Boulevard,30.3121,-97.71535,1.088,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,92735,44652,4,2022,0,0,8,0.086267321
32218,30.3282_-97.6552,Springdale Road,30.32818,-97.65524,0.285,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,89216,44652,4,2022,0,0,4,0.044835007
32219,30.3288_-97.7159,Airport Boulevard & West Highland Mall Boulevard,30.32883,-97.71586,0.082,44652,44682,21,0.625,0.75,,86099,860992022-04-0115:00:00,86099,Apr,2022,PM,57815,44652,4,2022,0,0,5,0.086482747
